Publication.Year,Study.Name,Study.Name.numbered,Title,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Location,Latitude,Longitude,Wild.Managed.Captive,Population.Type,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size.Study,Av.Clutch.Size.Mean,Clutch.Size.Cooney,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition
2014,Ackerman et al. 2014,Ackerman et al. 2014 (01),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,YES,YES,NO,2005,2006,2,Charadriiformes,Recurvirostridae,Black-necked Stilt,Himantopus_himantopus/Himantopus_mexicanus,Himantopus_himantopus,Himantopus_himantopus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"South San Francisco Bay, California, USA",37.4,-122,Wild,,Natural,No,No,No,No,No,No,No,No,8,92,NA,17,,,NA,3.77 ± 0.53,3.77,3.92,NA,NA,NA,NA,NA,156,NA,156,NA,588.12,611.52,NA,NA,588.12,541.0704,Not stated,Not stated,Not stated,NA,NA,NA
2014,Ackerman et al. 2014,Ackerman et al. 2014 (02),Comparative reproductive biology of sympatric species: Nest and chick survival of American avocets and black-necked stilts,YES,YES,NO,2005,2006,2,Charadriiformes,Recurvirostridae,American Avocet,Recurvirostra_americana,Recurvirostra_americana,Recurvirostra_americana,LC,LC,LC,Non-threatened,Non-threatened,NA,,"South San Francisco Bay, California, USA",37.4,-122,Wild,,Natural,No,No,No,No,No,No,No,No,10,90,NA,17,,,NA,3.84 ± 0.47,3.84,3.9075,NA,NA,NA,NA,NA,246,NA,246,NA,944.64,961.245,NA,NA,944.64,850.176,Not stated,Not stated,Not stated,NA,NA,NA
2012,Aldredge 2012,Aldredge 2012 (01),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,YES,YES,YES,2005,2007,3,Passeriformes,Corvidae,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,Aphelocoma_coerulescens,VU,VU,VU,Threatened,Threatened,NA,,"Placid Lakes Estates, Florida, USA",27.25,-81.416667,Wild,Suburban,Natural,No,No,No,No,No,No,No,No,10.8,89.2,0,0,,,NA,4,4,3.6925,NA,NA,NA,NA,NA,81,NA,81,295,324,299.0925,NA,NA,295,263.14,An unabandoned egg in the nest for the length of the incubation period that fails to hatch,"""",An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,Not stated,NA
2012,Aldredge 2012,Aldredge 2012 (02),Declining egg viability explains higher hatching failure in a suburban population of the threatened Florida scrub-jay Aphelocoma coerulescens,YES,YES,YES,2005,2007,3,Passeriformes,Corvidae,Florida Scrub-jay/Florida Scrub Jay,Aphelocoma_coerulescens,Aphelocoma_coerulescens,Aphelocoma_coerulescens,VU,VU,VU,Threatened,Threatened,NA,,"Archbold Biological Station, Florida, USA",27.183051,-81.352048,Wild,Wildland,Natural,No,No,No,No,No,No,No,No,7.5,92.5,0,0,,,NA,3,3,3.6925,NA,NA,NA,NA,NA,101,NA,101,338,303,372.9425,NA,NA,338,312.65,An unabandoned egg in the nest for the length of the incubation period that fails to hatch,"""",An unabandoned egg in the nest for the length of the incubation period that hatches,Not stated,Not stated,NA
2017,Aldredge 2017,Aldredge 2017 (01),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,YES,YES,NO,2013,2014,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"Near Yanceyville, North Carolina, USA",36.41,-79.34,Wild managed,Control,Natural,Yes,No,No,No,No,No,No,No,4,96,0,0,,,NA,5.17 ± 0.13,5.17,4.366666667,Control,NA,NA,NA,NA,26,NA,26,122,134.42,113.5333333,NA,NA,122,117.12,Not stated,Not stated,Probability that an egg hatched [Embryo survival],NA,NA,[Embryo Survival] Probability that egg hatched
2017,Aldredge 2017,Aldredge 2017 (02),Incubation onset maintains survival of most embryos and growth and survival of late-hatched young,YES,YES,NO,2013,2014,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"Near Yanceyville, North Carolina, USA",36.41,-79.34,Wild managed,Experimental,Natural,Yes,No,No,No,No,No,No,No,8,92,0,0,,,NA,5.42 ± 0.13,5.42,4.366666667,Incubation delayed until clutch completion,NA,NA,NA,NA,27,NA,27,137,146.34,117.9,NA,NA,137,126.04,Not stated,Not stated,Probability that an egg hatched [Embryo survival],NA,NA,[Embryo Survival] Probability that egg hatched
2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (01),Nest characteristics and reproductive performance in Great Tits Parus major,YES,YES,YES,2007,2007,1,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,"﻿Sagunto, Valencia, eastern Spain",39.7,-0.25,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,24.95,75.05,NA,14.41,,,NA,9.13 ± 1.91,9.13,8.4625,NA,NA,NA,NA,NA,16,NA,16,NA,146.08,135.4,NA,NA,146.08,109.63304,"""",Proportion of eggs hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA
2011,Alvarez & Barba 2011,Alvarez & Barba 2011 (02),Nest characteristics and reproductive performance in Great Tits Parus major,YES,YES,YES,2006,2006,1,Passeriformes,Paridae,Great Tit,Parus_major,Parus_major,Parus_major,Not Recognised (NR),LC,LC,Non-threatened,Non-threatened,NA,,"﻿Sagunto, Valencia, eastern Spain",39.7,-0.25,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,14.26,85.74,NA,9.03,,,NA,8.22 ± 1.07,8.22,8.4625,NA,NA,NA,NA,NA,26,NA,26,NA,213.72,220.025,NA,NA,213.72,183.243528,"""",Proportion of eggs hatched,Percentage/Proportion of eggs that hatched,Not stated,Not stated,NA
2017,Amininasab et al. 2017,Amininasab et al. 2017,The effect of male incubation feeding on female nest attendance and reproductive performance in a socially monogamous bird,YES,YES,NO,2014,2014,1,Passeriformes,Paridae,Eurasian Blue Tit,Cyanistes_caeruleus/Parus_caeruleus,Cyanistes_caeruleus,Parus_caeruleus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"De Vosberge, The Netherlands",53.133333,6.583333,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,12,88,NA,16,,,NA,11.06 ± 1.71,11.06,7.7625,NA,NA,NA,NA,NA,NA,62,62,NA,685.72,481.275,NA,NA,685.72,603.4336,"""",Proportion of hatched eggs,Percentage/Proportion of eggs that hatched,NA,NA,NA
2011,Angulo-Gastelum et al. 2011,Angulo-Gastelum et al. 2011 (01),"Breeding ecology of the Royal Tern (Thalasseus maximus) at Isla el Rancho, Mexico: Colony size and nest location affect predation",YES,YES,NO,2007,2007,1,Charadriiformes,Laridae,Royal Tern,Thalasseus_maximus/Sterna_maxima,Thalasseus_maximus,Sterna_maxima,LC,LC,LC,Non-threatened,Non-threatened,NA,,"﻿Isla El Rancho, Sinaloa, Mexico",25.166667,-108.383333,Wild,Small colony,Natural,No,No,No,No,No,No,No,No,0,100,0,0,,,NA,1.047619048,1.047619048,1.5,NA,NA,NA,NA,NA,15,NA,15,15,15.71428571,22.5,NA,NA,15,15,Not stated,Not stated,Not stated,NA,NA,NA
2011,Angulo-Gastelum et al. 2011,Angulo-Gastelum et al. 2011 (02),"Breeding ecology of the Royal Tern (Thalasseus maximus) at Isla el Rancho, Mexico: Colony size and nest location affect predation",YES,YES,NO,2007,2007,1,Charadriiformes,Laridae,Royal Tern,Thalasseus_maximus/Sterna_maxima,Thalasseus_maximus,Sterna_maxima,LC,LC,LC,Non-threatened,Non-threatened,NA,,"﻿Isla El Rancho, Sinaloa, Mexico",25.166667,-108.383333,Wild,Large colony,Natural,No,No,No,No,No,No,No,No,2.941176471,97.05882353,0,0,,,NA,1.047619048,1.047619048,1.5,NA,NA,NA,NA,NA,63,NA,63,68,66,94.5,NA,NA,68,66,Not stated,Not stated,Not stated,NA,NA,NA
2004,Antczak et al. 2004,Antczak et al. 2004,Breeding Biology of the Great Grey Shrike Lanius excubitor in W Poland,YES,YES,NO,1999,2003,5,Passeriformes,Laniidae,Great Grey Shrike,Lanius_excubitor,Lanius_excubitor,Lanius_excubitor,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"Near ﻿Odolanów and near Koło, Poland",51.8833335,18.1583335,Wild,,Natural,No,No,No,No,No,No,No,No,7.476635514,92.52336449,0,0,,,NA,6.6 ± 0.96,6.6,5.225,NA,NA,NA,NA,NA,NA,16,16,107,105.6,83.6,NA,NA,107,99,"""","Ratio between number of nestlings hatched, to the number of eggs laid",Percentage/Proportion of eggs that hatched out of eggs laid,NA,NA,NA
2008,Aourir et al. 2008,Aourir et al. 2008 (01),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco; Breeder stock from wild-laid eggs collected in ""Haouz plain"", west central Morocco (31.47°N, 7.59°W)",31.664067,-8.000678,Captive,1 year old,Artificial,No,Yes,No,No,No,No,Yes,No,62.5,37.5,0,0,,,NA,2.23 ± 0.43,2.23,2.84,NA,NA,NA,NA,NA,NA,14,14,32,31.22,39.76,NA,NA,32,12,NA,NA,NA,Not stated,Not stated,NA
2008,Aourir et al. 2008,Aourir et al. 2008 (02),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco; Breeder stock from wild-laid eggs collected in ""Haouz plain"", west central Morocco (31.47°N, 7.59°W)",31.664067,-8.000678,Captive,3 years old,Artificial,No,Yes,No,No,No,No,Yes,No,27.77777778,72.22222222,0,0,,,NA,2.84 ± 0.37,2.84,2.84,NA,NA,NA,NA,NA,NA,19,19,54,53.96,53.96,NA,NA,54,39,NA,NA,NA,Not stated,Not stated,NA
2008,Aourir et al. 2008,Aourir et al. 2008 (03),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco; Breeder stock from wild-laid eggs collected in ""Haouz plain"", west central Morocco (31.47°N, 7.59°W)",31.664067,-8.000678,Captive,2 years old,Artificial,No,Yes,No,No,No,No,Yes,No,45.45454545,54.54545455,0,0,,,NA,2.75 ± 0.44,2.75,2.84,NA,NA,NA,NA,NA,NA,20,20,55,55,56.8,NA,NA,55,30,NA,NA,NA,Not stated,Not stated,NA
2013,Aourir et al. 2013,Aourir et al. 2013 (01),Wild-laid versus captive-laid eggs in the black-bellied sandgrouse: Is there any effect on chick productivity?,YES,NO,YES,2003,2004,2,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Haouz plain, West central Morocco (laid); Natural History Museum of Marrakech, Cadi Ayyad University, Morrocco (hatched)",31.664067,-8.000678,Wild managed,,Artificial,No,No,No,No,No,No,Yes,No,45.29,54.71,0,0,,,NA,NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,53,28.9963,NA,NA,NA,Number of released chicks/total number of incubated eggs (percentage),Percentage/Proportion of eggs that hatched out of incubated eggs [Hatchability of incubated eggs]; Percentage/Proportion of eggs that hatched out of fertilised eggs [Hatchability of fertile eggs],NA
2013,Aourir et al. 2013,Aourir et al. 2013 (02),Wild-laid versus captive-laid eggs in the black-bellied sandgrouse: Is there any effect on chick productivity?,YES,NO,YES,2004,2006,3,Pterocliformes,Pteroclidae,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,Pterocles_orientalis,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Natural History Museum of Marrakech, Cadi Ayyad University, Morocco (hatched)",31.664067,-8.000678,Captive,Parents from wild-laid and captive-reared eggs (above),Artificial,No,Yes,No,No,No,No,Yes,No,42.56,57.44,0,0,,,NA,NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,141,80.9904,NA,NA,NA,Number of released chicks/total number of incubated eggs (percentage),Percentage/Proportion of eggs that hatched out of incubated eggs [Hatchability of incubated eggs]; Percentage/Proportion of eggs that hatched out of fertilised eggs [Hatchability of fertile eggs],NA
2004,Aragones 2004,Aragones 2004,Breeding biology of the Red-necked Nightjar Caprimulgus ruficollis in southern Spain,YES,YES,NO,1994,1995,2,Caprimulgiformes,Caprimulgidae,Red-necked Nightjar,Caprimulgus_ruficollis,Caprimulgus_ruficollis,Caprimulgus_ruficollis,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"Córdoba, Southern Spain",37.916667,4.916667,Wild,,Natural,No,No,No,No,No,No,No,No,8.108108108,91.89189189,0,0,,,NA,1.85 ± 0.37,1.85,NA,NA,NA,NA,NA,NA,20,NA,20,37,37,NA,NA,NA,37,34,"""",Proportion of eggs that hatched,Percentage/Proportion of eggs that hatched,NA,NA,NA
2012,Astie & Luchesi 2012,Astie & Luchesi 2012,Reproductive success of the Creamy-Bellied Thrush in a southern temperate zone,YES,YES,NO,1999,2002,3,Passeriformes,Turdidae,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,Turdus_amaurochalinus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"﻿Guay-mallén, Mendoza Province, Argentina",-32.85,-68.7,Wild,,Natural,No,No,No,No,No,No,No,No,26,74,3,NA,,,NA,3,3,NA,NA,NA,NA,NA,NA,109,NA,109,NA,327,NA,NA,NA,327,241.98,"""",Proportion of eggs that hatched divided by the number of eggs in the nest at the end of incubation,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA
2006,Astie & Reboreda 2006,Astié & Reboreda 2006 (01),Costs of egg punctures and parasitism by Shiny Cowbirds (Molothrus Bonariensis) at Creamy-Bellied Thrush (Turdus Amaurochalinus) nests,YES,YES,YES,1999,2002,4,Passeriformes,Turdidae,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,Turdus_amaurochalinus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"Guaymallén, Mendoza Province, Argentina",-32.85,-68.7,Wild,Parasitised by Shiny Cowbirds - eggs not punctured,Natural,No,No,No,No,No,No,No,No,32.58064516,67.41935484,6.77,NA,,,NA,3.1 ± 0.07,3.1,NA,NA,NA,NA,NA,NA,28,NA,28,NA,86.8,NA,NA,NA,86.8,58.52,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,Not stated,NA
2006,Astie & Reboreda 2006,Astié & Reboreda 2006 (02),Costs of egg punctures and parasitism by Shiny Cowbirds (Molothrus Bonariensis) at Creamy-Bellied Thrush (Turdus Amaurochalinus) nests,YES,YES,YES,1999,2002,4,Passeriformes,Turdidae,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,Turdus_amaurochalinus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"Guaymallén, Mendoza Province, Argentina",-32.85,-68.7,Wild,Not parasitised by Shiny Cowbirds - eggs not punctured,Natural,No,No,No,No,No,No,No,No,10,90,3.39,NA,,,NA,3.1 ± 0.07,3.1,NA,NA,NA,NA,NA,NA,23,NA,23,NA,71.3,NA,NA,NA,71.3,64.17,"""",Number of hatchlings divided by the number of eggs present in the nest at the time of hatching,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,Not stated,NA
2011,Ballantune & Nol 2011,Ballantune & Nol 2011,"Nesting habitat selection and hatching success of Whimbrels near Churchill, Manitoba, Canada",YES,YES,NO,2007,2008,2,Charadriiformes,Scolopacidae,Whimbrel/Icelandic Whimbrel,Numenius_phaeopus,Numenius_phaeopus,Numenius_phaeopus,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Churchill, Manitoba, Canada",58.733333,-94.066667,Wild,,Natural,No,No,No,No,No,No,No,No,4.62962963,95.37037037,0,0,,,NA,NA,NA,3.9125,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,108,103,"""",Number of nests with ≥ 1 egg hatched/total number of nests,Percentage/Proportion of successful clutches/nests (at least one egg hatched) out of total monitored clutches/nests,NA,NA,NA
2019,Bank et al. 2019,Bank et al. 2019,Nesting success and productivity of the Common Barn-owl Tyto alba: Results from a nest box installation and long-term breeding monitoring program in Southern Hungary,YES,YES,NO,1995,2018,24,Strigiformes,Tytonidae,Common Barn-owl,Tyto_alba,Tyto_alba,Tyto_alba,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Baranya country, Southern Hungary",46.066667,18.233333,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,20.19,79.81,0.93,NA,,,NA,6.84 ± 0.05,6.84,5.26875,NA,NA,NA,NA,NA,NA,797,797,5454,5451.48,4199.19375,NA,NA,5454,4352.8374,"""",Percentage of eggs that hatched within each clutch,Percentage/Proportion of eggs that hatched per clutch/nest,NA,NA,NA
2020,Bao et al. 2020,Bao et al. 2020,"Egg investment strategies adopted by a desertic passerine, the Saxaul Sparrow (Passer ammodendri)",YES,NO,YES,2010,2017,8,Passeriformes,Passeridae,Saxaul Sparrow,Passer_ammodendri,Passer_ammodendri,Passer_ammodendri,LC,LC,LC,Non-threatened,Non-threatened,NA,,"Gansu Province, China",40.35,96.216667,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,18,82,NA,19,,,NA,5.13 ± 0.89,5.13,NA,NA,NA,NA,NA,NA,774,NA,774,NA,3970.62,NA,NA,NA,3970.62,3255.9084,NA,NA,NA,Percentage of eggs surviving to the time of hatching that produced a nestling,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA
2009,Barri et al. 2009,Barri et al. 2009,"Reproductive success of wild Lesser Rheas (Pterocnemia-Rhea-pennata pennata) in north-western Patagonia, Argentina",YES,YES,YES,2004,2006,2,Struthioniformes,Rheidae,Lesser Rhea (Darwin's),Rhea_pennata_pennata/Pterocnemia_pennata_pennata,Rhea_pennata_pennata,Rhea_pennata,SUBSPECIES,Not Evaluated (NE),LC,NA,Non-threatened,LC,Not Evaluated,"﻿North-western Patagonia, Argentina",-41.128611,-71.251667,Wild,,Natural,No,No,No,No,No,No,No,No,25.6,74.4,11.3,NA,,,NA,﻿20.8 ± 6.4,﻿20.8,NA,NA,NA,NA,NA,NA,23,NA,23,479,NA,NA,NA,NA,479,356.376,"""",Percentage of eggs that hatch from the total in a successful nest,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,Not stated,NA
2005,Bartlett et al. 2005,Bartlett et al. 2005,Division of labor: Incubation and biparental care in House Sparrows (Passer domesticus),YES,YES,NO,2000,2001,2,Passeriformes,Passeridae,House Sparrow,Passer_domesticus,Passer_domesticus,Passer_domesticus,Not Evaluated (NE),LC,LC,Non-threatened,Non-threatened,NA,,"University of Oklahoma, Norman, Oklahoma, USA",35.205946,-97.445692,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,10.6,89.4,NA,15,,,NA,2-6 eggs,4,4.366666667,NA,47,94,47,47,47,NA,47,NA,188,205.2333333,NA,NA,188,168.072,Percentage of eggs within a clutch that did not hatch,"""",Percentage/Proportion of eggs that hatched per clutch/nest,NA,NA,NA
2019,Beier & Fontana 2019,Beier & Fontana 2019,Breeding biology of the endangered Yellow Cardinal Gubernatrix cristata in Brazil,YES,NO,NO,2013,2015,2,Passeriformes,Thraupidae,Yellow Cardinal,Gubernatrix_cristata,Gubernatrix_cristata,Gubernatrix_cristata,EN,EN,EN,Threatened,Threatened,NA,,"Barra do Quaraí, Rio Grande do Sul, Brazil",-30.208155,-57.552882,Wild,,Natural,No,No,No,No,No,No,No,No,24,76,NA,25,,,NA,2.95 ± 0.52,2.95,NA,NA,NA,NA,NA,NA,14,NA,14,NA,41.3,NA,NA,NA,41.3,31.388,NA,NA,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period [Hatching Rate],NA,NA,[Hatching Rate] Ratio between the number of hatchlings and the number of eggs at hatching
2005,Beissinger et al. 2005,Beissinger et al. 2005,The shelf life of bird eggs: testing egg viability using a tropical climate gradient,YES,YES,YES,NA,NA,1,Passeriformes,Mimidae,Pearly-eyed Thrasher,Margarops_fuscatus,Margarops_fuscatus,Margarops_fuscatus,NA,LC,LC,Non-threatened,Non-threatened,NA,,"Luquillo Experimental Forest, Puerto Rico",18.3,-65.3,Wild managed,Unmanipulated and control,Natural,Yes,No,No,No,No,No,No,No,15.7,84.3,0,0,,,NA,3-4 eggs,3.5,NA,Control,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,178,150.054,"""",Percentage of eggs that hatched,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,Not stated,NA
2008,Beissinger et al. 2008,Beissinger et al. 2008,Anatomy of a bottleneck: Diagnosing factors limiting population growth in the Puerto Rican parrot,YES,YES,YES,1973,2000,28,Psittaciformes,Psittacidae,Puerto Rican Amazon/Puerto Rican Parrot,Amazona_vittata,Amazona_vittata,Amazona_vittata,CR,CR,CR,Threatened,Threatened,NA,,"Luquillo Experimental Forest, Puerto Rico",18.295348,-65.800043,Wild managed,,Natural,No,No,No,Yes,No,Yes,No,No,29.4,70.6,0.1,NA,,,NA,NA,NA,2.85,NA,34,NA,NA,NA,NA,NA,NA,389,NA,NA,NA,NA,389,274.634,Not stated,Not stated,Not stated,"Percentage of eggs that successfully produced chicks excluding eggs lost to predation, accidental breakage, flooding, and abandonment","Percentage/Proportion of eggs that hatched, excluding failure due to desertion, predation, accident, or flooding",NA
2014,Berkunsky et al. 2014,Berkunsky et al. 2014,Reproductive parameters in the critically endangered blue-throated Macaw: Limits to the recovery of a parrot under intensive management,YES,YES,NO,2007,2012,5,Psittaciformes,Psittacidae,Blue-throated Macaw,Ara_glaucogularis,Ara_glaucogularis,Ara_glaucogularis,CR,CR,CR,Threatened,Threatened,NA,,"Llanos de Moxos, Beni Department, northern Bolivia",-15.436537,-65.687294,Wild managed,,Natural,Yes,No,No,No,No,No,No,No,38.88888889,61.11111111,0,0,,,NA,2.53 ± 0.10,2.53,NA,NA,NA,NA,NA,NA,NA,29,29,72,73.37,NA,NA,NA,72,44,"""",Proportion of the eggs at hatching that produced nestlings,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA
2017,Berkunsky et al. 2017,Berkunsky et al. 2017,Reproductive parameters of the Turquoise-fronted Parrot (Amazona aestiva) in the dry Chaco forest,YES,YES,NO,2002,2006,5,Psittaciformes,Psittacidae,Turquoise-fronted Amazon/Blue-fronted Parrot/Turquoise-fronted Parrot,Amazona_aestiva,Amazona_aestiva,Amazona_aestiva,LC,NT,NT,Non-threatened,Non-threatened,NA,,"Loro Hablador Provincial Park, Chaco Forest, Argentina",-25.467051,-61.898707,Wild,Protected,Natural,No,No,No,No,No,No,No,No,27,73,3,NA,,,NA,3.68 ± 0.10,3.68,NA,NA,NA,NA,NA,NA,66,NA,66,234.3,242.88,NA,NA,NA,234.3,171.039,"""",Proportion of eggs that produced nestlings,Percentage/Proportion of eggs that hatched,NA,NA,NA
2017,Bernard-Laurent et al. 2017,Bernard-Laurent et al. 2017 (01),The reproductive biology of the Rock Partridge Alectoris graeca saxatilis in the southern French Alps: First evidence of double-nesting behaviour,YES,YES,NO,2012,2016,5,Galliformes,Phasianidae,Rock Partridge [saxatilis],Alectoris_graeca_saxatilis,Alectoris_graeca_saxatilis,Alectoris_graeca,SUBSPECIES,Not Evaluated (NE),NT,NA,Non-threatened,NT,Not Evaluated (EEA); Annex I,"Dévoluy massif, southwestern French Alps, France",44.683333,5.933333,Wild,Male only incubation,Natural,No,No,No,No,No,No,No,No,9,91,NA,NA,,,NA,11.0 ± 1.6,11,11.0166665,NA,NA,NA,NA,NA,NA,9,9,NA,99,NA,NA,NA,99,90.09,"""",Proportion of hatched eggs in successful clutches,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA
2017,Bernard-Laurent et al. 2017,Bernard-Laurent et al. 2017 (02),The reproductive biology of the Rock Partridge Alectoris graeca saxatilis in the southern French Alps: First evidence of double-nesting behaviour,YES,YES,NO,2012,2016,5,Galliformes,Phasianidae,Rock Partridge [saxatilis],Alectoris_graeca_saxatilis,Alectoris_graeca_saxatilis,Alectoris_graeca,SUBSPECIES,Not Evaluated (NE),NT,NA,Non-threatened,NT,Not Evaluated (EEA); Annex I,"Dévoluy massif, southwestern French Alps, France",44.683333,5.933333,Wild,Female only incubation,Natural,No,No,No,No,No,No,No,No,8,92,NA,NA,,,NA,9.5 ± 1.2,9.5,11.0166665,NA,NA,NA,NA,NA,NA,14,14,NA,133,NA,NA,NA,133,122.36,"""",Proportion of hatched eggs in successful clutches,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA
2018,Blevin et al. 2018,Blevin et al. 2018,"Organochlorines, perfluoroalkyl substances, mercury, and egg incubation temperature in an Arctic seabird: Insights from data loggers",YES,YES,YES,2015,2015,1,Charadriiformes,Laridae,Black-legged Kittiwake/Arctic Black-legged Kittiwake,Rissa_tridactyla,Rissa_tridactyla,Rissa_tridactyla,LC,VU,VU,Threatened,Threatened,NA,,"Kongsfjorden, Svalbard",78.9,12.216667,Wild,,Natural,No,No,No,No,No,No,No,No,25,75,0,0,,,NA,2,2,2.0033335,One natural egg removed from each nest and replaced with artificial egg,20,NA,NA,NA,20,NA,20,20,40,40.06667,NA,NA,20,15,Not stated,Not stated,Not stated,Not stated,Not stated,NA
