Publication.Year,Study.Name,Study.Name.numbered,Title,Original.Source.Verified,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,No.Breeding.Seasons,Order,Family,Common.Name,Latin.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Study,IUCN.Status.Current,IUCN.Status.Current_SUB,Threat_Status,Threat_Status_SUB,IUCN.Status.Current.Parent,Regional.Threat.Status,Location,Latitude,Longitude,Wild.Managed.Captive,Population.Type,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Artificial.Insemination,Nest.Habitat.Protection,Predator.Control_Exclusion,Fostering,Egg.pulling,Other,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,CS.BoW,CS.NZBO,CS.Johnsen,Av.Clutch.Size.Study,Av.Clutch.Size.Mean,Clutch.Size.Cooney,Experimental.Manipulation,SS.Pairs,SS.Individuals,SS.Females,SS.Males,SS.Nests,SS.Clutches,SS.Nest.Clutch,SS.Eggs,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.CS,Egg.BoW.CS,Total,Cases,Hatching.Failure.Definition,Hatching.Success.Definition,Standardised.Hatching.Success.Definition,Hatchability.Definition,Standardised.Hatchability.Definition,Other.Definition
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (26),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Paridae,Eurasian Blue Tit,Cyanistes_caeruleus/Parus_caeruleus,Cyanistes_caeruleus,Parus_caeruleus,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,9.6,90.4,NA,NA,,,7,NA,NA,7.7625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (27),Genetic similarity and hatching success in birds,YES,YES,NO,1999,2000,1,Psittaciformes,Psittacidae,Burrowing Parrot,Cyanoliseus_patagonus,Cyanoliseus_patagonus,Cyanoliseus_patagonus,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"El Cóndor, Río Negro, Patagonia, Argentina",-41.05,-62.8,Wild,,Natural,No,No,No,No,No,No,No,No,12,88,NA,NA,,,NA,3.8 ± 0.1,3.8,2.775,NA,NA,NA,NA,NA,29,NA,29,110,110.2,80.475,NA,NA,110,96.8,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (28),Genetic similarity and hatching success in birds,YES,YES,NO,1994,1998,4,Coraciiformes,Alcedinidae,Laughing Kookaburra,Dacelo_novaeguineae,Dacelo_novaeguineae,Dacelo_novaeguineae,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"Canberra, SE Australia",-35.2809,149.13,Wild,,Natural,No,No,No,No,No,No,No,No,9.8,90.2,0,0,,,2.92,2.827586207,2.827586207,2.485,NA,NA,NA,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,235,211.97,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (29),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Hirundinidae,Northern House Martin,Delichon_urbicum/Delichon_urbica,Delichon_urbicum,Delichon_urbicum,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,6.8,93.2,NA,NA,,,4,NA,NA,4.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (30),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Emberizidae,Corn Bunting,Emberiza_calandra/Miliaria_calandra,Emberiza_calandra,Miliaria_calandra,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,19.3,80.7,NA,NA,,,4.9,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (31),Genetic similarity and hatching success in birds,NO,YES,NO,1936,1940,5,Sphenisciformes,Spheniscidae,Royal Penguin,Eudyptes_schlegeli,Eudyptes_schlegeli,Eudyptes_schlegeli,Not Evaluated (NE),NT,NT,Non-threatened,Non-threatened,NA,,"Otago Peninsula, New Zealand",-45.866457,170.666838,Wild,,Natural,No,No,No,No,No,No,No,No,14,86,NA,NA,,,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (32),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Passeriformes,Ploceidae,Southern Red Bishop/Red Bishop,Euplectes_orix,Euplectes_orix,Euplectes_orix,NA,LC,LC,Non-threatened,Non-threatened,NA,,South Africa,-30.5595,22.9375,Wild,,Natural,No,No,No,No,No,No,No,No,9.1,90.9,NA,NA,,,3,NA,NA,3.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (33),Genetic similarity and hatching success in birds,YES,YES,NO,1971,1990,20,Falconiformes,Falconidae,Merlin/Pigeon Hawk,Falco_columbarius,Falco_columbarius,Falco_columbarius,Unknown (LR/LC),LC,LC,Non-threatened,Non-threatened,NA,,"Saskatoon, Saskatchewan, Canada",52.116667,-106.633333,Wild,,Natural,No,No,No,No,No,No,No,No,8.7,91.3,0,0,,,4,4.2 ± 0.04,4.2,4.3375,NA,NA,NA,NA,NA,237,NA,237,1074.479737,995.4,1027.9875,NA,NA,1074.479737,981,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (34),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Falconiformes,Falconidae,Eleonora's Falcon,Falco_eleonorae,Falco_eleonorae,Falco_eleonorae,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,8.4,91.6,NA,NA,,,2.5,NA,NA,2.4833335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
2004,Spottiswoode & Møller 2004,Spottiswoode & Møller 2004 (35),Genetic similarity and hatching success in birds,NO,YES,NO,NA,NA,NA,Falconiformes,Falconidae,Lesser Kestrel,Falco_naumanni,Falco_naumanni,Falco_naumanni,NA,LC,LC,Non-threatened,Non-threatened,NA,,NA,NA,NA,Wild,,Natural,No,No,No,No,No,No,No,No,7.1,92.9,NA,NA,,,4,NA,NA,4.1333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","Proportion of eggs incubated to term that hatched, thus excluding hatching failure owing to nest desertion and nest predation","Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion and predation",NA,NA,NA
